IV Test Report_1,,
,,
Date and Time:2026/08/20-14:30:40,,
,,
Material:,perovskite,
Serial NO.:,C1-1,
Operator:,Cindy,
Sample Area(cm2):,0.04,
0.04,,
0.04,,
,,
,,
Test Condition:,Light,
Start Voltage(V):,-0.100000,
Stop Voltage(V):,1.250000,
Direction:,Rev,
Scanning Speed(mV/S):,Auto,
Test Mode:,Normal,
Voc(V):,  1.158118,
Isc(mA):,  1.007358,
Vpmax(V):,  1.061000,
Ipmax(mA):,  0.972822,
Pmax(mW):,  1.032164,
Efficiency(%):, 25.804105,
Fill Factor:, 88.473290,
Jsc(mA/cm2):, 25.183943,
Rs(ohm):, 33.396604,
Rsh(ohm):,3082029.395372,
,,
V(V),I(mA),P(mW)
-1.00000E-1,1.00754E+0,-1.00754E-1
-8.65000E-2,1.00820E+0,-8.72089E-2
-7.30000E-2,1.00780E+0,-7.35695E-2
-5.95000E-2,1.00642E+0,-5.98819E-2
-4.60000E-2,1.00657E+0,-4.63024E-2
-3.25000E-2,1.00739E+0,-3.27402E-2
-1.90000E-2,1.00794E+0,-1.91509E-2
-5.50000E-3,1.00740E+0,-5.54068E-3
8.00000E-3,1.00709E+0,8.05674E-3
2.15000E-2,1.00672E+0,2.16444E-2
3.50000E-2,1.00665E+0,3.52327E-2
4.85000E-2,1.00800E+0,4.88879E-2
6.20000E-2,1.00807E+0,6.25002E-2
7.55000E-2,1.00746E+0,7.60632E-2
8.90000E-2,1.00691E+0,8.96150E-2
1.02500E-1,1.00659E+0,1.03176E-1
1.16000E-1,1.00653E+0,1.16758E-1
1.29500E-1,1.00703E+0,1.30411E-1
1.43000E-1,1.00689E+0,1.43985E-1
1.56500E-1,1.00793E+0,1.57741E-1
1.70000E-1,1.00715E+0,1.71216E-1
1.83500E-1,1.00642E+0,1.84678E-1
1.97000E-1,1.00612E+0,1.98205E-1
2.10500E-1,1.00665E+0,2.11900E-1
2.24000E-1,1.00763E+0,2.25709E-1
2.37500E-1,1.00753E+0,2.39290E-1
2.51000E-1,1.00700E+0,2.52757E-1
2.64500E-1,1.00645E+0,2.66207E-1
2.78000E-1,1.00574E+0,2.79597E-1
2.91500E-1,1.00670E+0,2.93452E-1
3.05000E-1,1.00803E+0,3.07449E-1
3.18500E-1,1.00757E+0,3.20911E-1
3.32000E-1,1.00645E+0,3.34142E-1
3.45500E-1,1.00624E+0,3.47657E-1
3.59000E-1,1.00593E+0,3.61130E-1
3.72500E-1,1.00649E+0,3.74917E-1
3.86000E-1,1.00669E+0,3.88584E-1
3.99500E-1,1.00709E+0,4.02334E-1
4.13000E-1,1.00773E+0,4.16192E-1
4.26500E-1,1.00661E+0,4.29318E-1
4.40000E-1,1.00674E+0,4.42965E-1
4.53500E-1,1.00605E+0,4.56242E-1
4.67000E-1,1.00733E+0,4.70424E-1
4.80500E-1,1.00730E+0,4.84008E-1
4.94000E-1,1.00711E+0,4.97513E-1
5.07500E-1,1.00716E+0,5.11133E-1
5.21000E-1,1.00650E+0,5.24387E-1
5.34500E-1,1.00566E+0,5.37523E-1
5.48000E-1,1.00630E+0,5.51453E-1
5.61500E-1,1.00736E+0,5.65632E-1
5.75000E-1,1.00742E+0,5.79268E-1
5.88500E-1,1.00675E+0,5.92471E-1
6.02000E-1,1.00623E+0,6.05751E-1
6.15500E-1,1.00693E+0,6.19764E-1
6.29000E-1,1.00671E+0,6.33217E-1
6.42500E-1,1.00661E+0,6.46749E-1
6.56000E-1,1.00726E+0,6.60759E-1
6.69500E-1,1.00733E+0,6.74408E-1
6.83000E-1,1.00584E+0,6.86988E-1
6.96500E-1,1.00592E+0,7.00626E-1
7.10000E-1,1.00595E+0,7.14227E-1
7.23500E-1,1.00629E+0,7.28051E-1
7.37000E-1,1.00640E+0,7.41720E-1
7.50500E-1,1.00602E+0,7.55018E-1
7.64000E-1,1.00595E+0,7.68545E-1
7.77500E-1,1.00537E+0,7.81679E-1
7.91000E-1,1.00654E+0,7.96172E-1
8.04500E-1,1.00708E+0,8.10194E-1
8.18000E-1,1.00709E+0,8.23798E-1
8.31500E-1,1.00581E+0,8.36331E-1
8.45000E-1,1.00636E+0,8.50376E-1
8.58500E-1,1.00597E+0,8.63629E-1
8.72000E-1,1.00617E+0,8.77384E-1
8.85500E-1,1.00630E+0,8.91081E-1
8.99000E-1,1.00616E+0,9.04535E-1
9.12500E-1,1.00594E+0,9.17922E-1
9.26000E-1,1.00504E+0,9.30662E-1
