IV Test Report_1,,,IV Test Report_2,,,IV Test Report_3,,,IV Test Report_4,,
,,,,,,,,,,,
Date and Time:2026/08/20-14:30:40,,,Date and Time:2026/08/20-14:31:03,,,Date and Time:2026/08/20-14:32:00,,,Date and Time:2026/08/20-14:32:22,,
,,,,,,,,,,,
Material:,perovskite,,Material:,perovskite,,Material:,perovskite,,Material:,perovskite,
Serial NO.:,C1-1,,Serial NO.:,C1-2,,Serial NO.:,C2-1,,Serial NO.:,C2-2,
Operator:,Cindy,,Operator:,Cindy,,Operator:,Cindy,,Operator:,Cindy,
Sample Area(cm2):,0.04,,Sample Area(cm2):,0.04,,Sample Area(cm2):,0.04,,Sample Area(cm2):,0.04,
0.04,,,0.04,,,0.04,,,0.04,,
0.04,,,0.04,,,0.04,,,0.04,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Condition:,Light,,Test Condition:,Light,,Test Condition:,Light,,Test Condition:,Light,
Start Voltage(V):,-0.100000,,Start Voltage(V):,-0.100000,,Start Voltage(V):,-0.100000,,Start Voltage(V):,-0.100000,
Stop Voltage(V):,1.250000,,Stop Voltage(V):,1.250000,,Stop Voltage(V):,1.250000,,Stop Voltage(V):,1.250000,
Direction:,Rev,,Direction:,Rev,,Direction:,Rev,,Direction:,Rev,
Scanning Speed(mV/S):,Auto,,Scanning Speed(mV/S):,Auto,,Scanning Speed(mV/S):,Auto,,Scanning Speed(mV/S):,Auto,
Test Mode:,Normal,,Test Mode:,Normal,,Test Mode:,Normal,,Test Mode:,Normal,
Voc(V):,  1.158118,,Voc(V):,  1.148814,,Voc(V):,  1.150848,,Voc(V):,  1.150821,
Isc(mA):,  1.007358,,Isc(mA):,  1.006706,,Isc(mA):,  1.002670,,Isc(mA):,  1.007115,
Vpmax(V):,  1.061000,,Vpmax(V):,  1.047500,,Vpmax(V):,  1.047500,,Vpmax(V):,  1.047500,
Ipmax(mA):,  0.972822,,Ipmax(mA):,  0.973695,,Ipmax(mA):,  0.967063,,Ipmax(mA):,  0.972347,
Pmax(mW):,  1.032164,,Pmax(mW):,  1.019945,,Pmax(mW):,  1.012998,,Pmax(mW):,  1.018533,
Efficiency(%):, 25.804105,,Efficiency(%):, 25.498632,,Efficiency(%):, 25.324962,,Efficiency(%):, 25.463331,
Fill Factor:, 88.473290,,Fill Factor:, 88.191062,,Fill Factor:, 87.787489,,Fill Factor:, 87.879678,
Jsc(mA/cm2):, 25.183943,,Jsc(mA/cm2):, 25.167638,,Jsc(mA/cm2):, 25.066751,,Jsc(mA/cm2):, 25.177875,
Rs(ohm):, 33.396604,,Rs(ohm):, 37.774413,,Rs(ohm):, 38.903142,,Rs(ohm):, 38.992774,
Rsh(ohm):,3082029.395372,,Rsh(ohm):,341886.612994,,Rsh(ohm):,474385.805686,,Rsh(ohm):,357717.064948,
,,,,,,,,,,,
V(V),I(mA),P(mW),V(V),I(mA),P(mW),V(V),I(mA),P(mW),V(V),I(mA),P(mW)
-1.00000E-1,1.00754E+0,-1.00754E-1,-1.00000E-1,1.00696E+0,-1.00696E-1,-1.00000E-1,1.00237E+0,-1.00237E-1,-1.00000E-1,1.00694E+0,-1.00694E-1
-8.65000E-2,1.00820E+0,-8.72089E-2,-8.65000E-2,1.00668E+0,-8.70780E-2,-8.65000E-2,1.00248E+0,-8.67142E-2,-8.65000E-2,1.00716E+0,-8.71190E-2
-7.30000E-2,1.00780E+0,-7.35695E-2,-7.30000E-2,1.00680E+0,-7.34968E-2,-7.30000E-2,1.00257E+0,-7.31872E-2,-7.30000E-2,1.00735E+0,-7.35366E-2
-5.95000E-2,1.00642E+0,-5.98819E-2,-5.95000E-2,1.00706E+0,-5.99202E-2,-5.95000E-2,1.00347E+0,-5.97062E-2,-5.95000E-2,1.00692E+0,-5.99120E-2
-4.60000E-2,1.00657E+0,-4.63024E-2,-4.60000E-2,1.00701E+0,-4.63224E-2,-4.60000E-2,1.00372E+0,-4.61711E-2,-4.60000E-2,1.00743E+0,-4.63416E-2
-3.25000E-2,1.00739E+0,-3.27402E-2,-3.25000E-2,1.00739E+0,-3.27402E-2,-3.25000E-2,1.00219E+0,-3.25711E-2,-3.25000E-2,1.00791E+0,-3.27572E-2
-1.90000E-2,1.00794E+0,-1.91509E-2,-1.90000E-2,1.00687E+0,-1.91305E-2,-1.90000E-2,1.00201E+0,-1.90382E-2,-1.90000E-2,1.00771E+0,-1.91464E-2
-5.50000E-3,1.00740E+0,-5.54068E-3,-5.50000E-3,1.00656E+0,-5.53610E-3,-5.50000E-3,1.00208E+0,-5.51142E-3,-5.50000E-3,1.00680E+0,-5.53738E-3
8.00000E-3,1.00709E+0,8.05674E-3,8.00000E-3,1.00602E+0,8.04820E-3,8.00000E-3,1.00360E+0,8.02882E-3,8.00000E-3,1.00631E+0,8.05051E-3
2.15000E-2,1.00672E+0,2.16444E-2,2.15000E-2,1.00642E+0,2.16381E-2,2.15000E-2,1.00284E+0,2.15611E-2,2.15000E-2,1.00683E+0,2.16469E-2
3.50000E-2,1.00665E+0,3.52327E-2,3.50000E-2,1.00693E+0,3.52424E-2,3.50000E-2,1.00266E+0,3.50930E-2,3.50000E-2,1.00733E+0,3.52565E-2
4.85000E-2,1.00800E+0,4.88879E-2,4.85000E-2,1.00641E+0,4.88108E-2,4.85000E-2,1.00214E+0,4.86039E-2,4.85000E-2,1.00727E+0,4.88525E-2
6.20000E-2,1.00807E+0,6.25002E-2,6.20000E-2,1.00673E+0,6.24175E-2,6.20000E-2,1.00260E+0,6.21614E-2,6.20000E-2,1.00677E+0,6.24199E-2
7.55000E-2,1.00746E+0,7.60632E-2,7.55000E-2,1.00598E+0,7.59518E-2,7.55000E-2,1.00223E+0,7.56684E-2,7.55000E-2,1.00692E+0,7.60223E-2
8.90000E-2,1.00691E+0,8.96150E-2,8.90000E-2,1.00584E+0,8.95200E-2,8.90000E-2,1.00245E+0,8.92185E-2,8.90000E-2,1.00588E+0,8.95235E-2
1.02500E-1,1.00659E+0,1.03176E-1,1.02500E-1,1.00595E+0,1.03110E-1,1.02500E-1,1.00297E+0,1.02804E-1,1.02500E-1,1.00686E+0,1.03203E-1
1.16000E-1,1.00653E+0,1.16758E-1,1.16000E-1,1.00758E+0,1.16879E-1,1.16000E-1,1.00350E+0,1.16406E-1,1.16000E-1,1.00770E+0,1.16894E-1
1.29500E-1,1.00703E+0,1.30411E-1,1.29500E-1,1.00771E+0,1.30498E-1,1.29500E-1,1.00302E+0,1.29891E-1,1.29500E-1,1.00783E+0,1.30513E-1
1.43000E-1,1.00689E+0,1.43985E-1,1.43000E-1,1.00689E+0,1.43985E-1,1.43000E-1,1.00240E+0,1.43343E-1,1.43000E-1,1.00617E+0,1.43882E-1
1.56500E-1,1.00793E+0,1.57741E-1,1.56500E-1,1.00628E+0,1.57483E-1,1.56500E-1,1.00258E+0,1.56904E-1,1.56500E-1,1.00648E+0,1.57514E-1
1.70000E-1,1.00715E+0,1.71216E-1,1.70000E-1,1.00592E+0,1.71007E-1,1.70000E-1,1.00284E+0,1.70483E-1,1.70000E-1,1.00617E+0,1.71050E-1
1.83500E-1,1.00642E+0,1.84678E-1,1.83500E-1,1.00625E+0,1.84647E-1,1.83500E-1,1.00436E+0,1.84300E-1,1.83500E-1,1.00665E+0,1.84720E-1
1.97000E-1,1.00612E+0,1.98205E-1,1.97000E-1,1.00631E+0,1.98244E-1,1.97000E-1,1.00261E+0,1.97513E-1,1.97000E-1,1.00584E+0,1.98150E-1
2.10500E-1,1.00665E+0,2.11900E-1,2.10500E-1,1.00664E+0,2.11897E-1,2.10500E-1,1.00290E+0,2.11111E-1,2.10500E-1,1.00679E+0,2.11929E-1
2.24000E-1,1.00763E+0,2.25709E-1,2.24000E-1,1.00737E+0,2.25652E-1,2.24000E-1,1.00190E+0,2.24426E-1,2.24000E-1,1.00721E+0,2.25616E-1
2.37500E-1,1.00753E+0,2.39290E-1,2.37500E-1,1.00642E+0,2.39024E-1,2.37500E-1,1.00246E+0,2.38085E-1,2.37500E-1,1.00597E+0,2.38918E-1
