IV Test Report_1

Date and Time:2024/09/09-14:49:12

Material:	PVK
Serial NO.:	Cbz-4
Operator:	Wanda
Sample Area(cm2):	0.04

Test Condition:	Light
Start Voltage(V):	-0.100000
Stop Voltage(V):	1.200000
Direction:	Rev
Scanning Speed(mV/S):	Auto
Test Mode:	Normal
Voc(V):	  0.971776
Isc(mA):	  0.790515
Vpmax(V):	  0.758000
Ipmax(mA):	  0.704066
Pmax(mW):	  0.533682
Efficiency(%):	 13.342047
Fill Factor:	 69.471398
Jsc(mA/cm2):	 19.762872
Rs(ohm):	152.327341
Rsh(ohm):	57181.324705

V(V)	I(mA)	P(mW)
-1.00000E-1	7.91633E-1	-7.91634E-2
-8.70000E-2	7.91186E-1	-6.88332E-2
-7.40000E-2	7.91416E-1	-5.85648E-2
-6.10000E-2	7.92480E-1	-4.83413E-2
-4.80000E-2	7.91030E-1	-3.79694E-2
-3.50000E-2	7.91052E-1	-2.76868E-2
-2.20000E-2	7.90516E-1	-1.73913E-2
-9.00000E-3	7.89121E-1	-7.10209E-3
4.00000E-3	7.91948E-1	3.16779E-3
1.70000E-2	7.91282E-1	1.34518E-2
3.00000E-2	7.89662E-1	2.36899E-2
4.30000E-2	7.87182E-1	3.38488E-2
5.60000E-2	7.90436E-1	4.42644E-2
6.90000E-2	7.90185E-1	5.45228E-2
8.20000E-2	7.90716E-1	6.48387E-2
9.50000E-2	7.90959E-1	7.51411E-2
1.08000E-1	7.89565E-1	8.52730E-2
1.21000E-1	7.88510E-1	9.54097E-2
1.34000E-1	7.87685E-1	1.05550E-1
1.47000E-1	7.87584E-1	1.15775E-1
1.60000E-1	7.88359E-1	1.26137E-1
1.73000E-1	7.89017E-1	1.36500E-1
1.86000E-1	7.88279E-1	1.46620E-1
1.99000E-1	7.89967E-1	1.57204E-1
2.12000E-1	7.89393E-1	1.67351E-1
2.25000E-1	7.89293E-1	1.77591E-1
2.38000E-1	7.88568E-1	1.87679E-1
2.51000E-1	7.88414E-1	1.97892E-1
2.64000E-1	7.87807E-1	2.07981E-1
2.77000E-1	7.88334E-1	2.18368E-1
2.90000E-1	7.86965E-1	2.28220E-1
3.03000E-1	7.85134E-1	2.37896E-1
3.16000E-1	7.84945E-1	2.48043E-1
3.29000E-1	7.85758E-1	2.58515E-1
3.42000E-1	7.86124E-1	2.68854E-1
3.55000E-1	7.85524E-1	2.78861E-1
3.68000E-1	7.85910E-1	2.89215E-1
3.81000E-1	7.86575E-1	2.99685E-1
3.94000E-1	7.86604E-1	3.09922E-1
4.07000E-1	7.84318E-1	3.19217E-1
4.20000E-1	7.84779E-1	3.29607E-1
4.33000E-1	7.83410E-1	3.39216E-1
4.46000E-1	7.81227E-1	3.48427E-1
4.59000E-1	7.78884E-1	3.57508E-1
4.72000E-1	7.81881E-1	3.69048E-1
4.85000E-1	7.81931E-1	3.79236E-1
4.98000E-1	7.79767E-1	3.88324E-1
5.11000E-1	7.78741E-1	3.97936E-1
5.24000E-1	7.78238E-1	4.07797E-1
5.37000E-1	7.76231E-1	4.16836E-1
5.50000E-1	7.74381E-1	4.25910E-1
5.63000E-1	7.73820E-1	4.35661E-1
5.76000E-1	7.71977E-1	4.44659E-1
5.89000E-1	7.70064E-1	4.53568E-1
6.02000E-1	7.67150E-1	4.61824E-1
6.15000E-1	7.65185E-1	4.70589E-1
6.28000E-1	7.62158E-1	4.78635E-1
6.41000E-1	7.59136E-1	4.86606E-1
6.54000E-1	7.55973E-1	4.94406E-1
6.67000E-1	7.51849E-1	5.01483E-1
6.80000E-1	7.47506E-1	5.08304E-1
6.93000E-1	7.42079E-1	5.14261E-1
7.06000E-1	7.37185E-1	5.20452E-1
7.19000E-1	7.30040E-1	5.24899E-1
7.32000E-1	7.22285E-1	5.28713E-1
7.45000E-1	7.12784E-1	5.31024E-1
7.58000E-1	7.04066E-1	5.33682E-1
7.71000E-1	6.91114E-1	5.32849E-1
7.84000E-1	6.77153E-1	5.30888E-1
7.97000E-1	6.60530E-1	5.26442E-1
8.10000E-1	6.41707E-1	5.19783E-1
8.23000E-1	6.17499E-1	5.08202E-1
8.36000E-1	5.90365E-1	4.93545E-1
8.49000E-1	5.59825E-1	4.75291E-1
8.62000E-1	5.23353E-1	4.51130E-1
8.75000E-1	4.83058E-1	4.22675E-1
8.88000E-1	4.36661E-1	3.87755E-1
9.01000E-1	3.85666E-1	3.47485E-1
9.14000E-1	3.28381E-1	3.00141E-1
9.27000E-1	2.65244E-1	2.45881E-1
9.40000E-1	1.96712E-1	1.84909E-1
9.53000E-1	1.22008E-1	1.16273E-1
9.66000E-1	4.04324E-2	3.90577E-2
9.79000E-1	-4.86770E-2	-4.76548E-2
9.92000E-1	-1.45814E-1	-1.44648E-1
1.00500E+0	-2.52673E-1	-2.53936E-1
1.01800E+0	-3.70572E-1	-3.77242E-1
1.03100E+0	-5.01613E-1	-5.17163E-1
1.04400E+0	-6.47191E-1	-6.75668E-1
1.05700E+0	-8.10131E-1	-8.56308E-1
1.07000E+0	-9.92963E-1	-1.06247E+0
1.08300E+0	-1.19868E+0	-1.29817E+0
1.09600E+0	-1.43046E+0	-1.56779E+0
1.10900E+0	-1.69295E+0	-1.87749E+0
1.12200E+0	-1.99148E+0	-2.23444E+0
1.13500E+0	-2.33452E+0	-2.64968E+0
1.14800E+0	-2.73590E+0	-3.14081E+0
1.16100E+0	-3.22334E+0	-3.74230E+0
1.17400E+0	-3.86597E+0	-4.53865E+0
1.18700E+0	-4.91118E+0	-5.82957E+0
1.20000E+0	-7.59916E+0	-9.11899E+0


