Name,,A1-Rev,Name,,A1-Rev,Name,,A1-For
V (V),Jsc(mA/cm2),Isc (mA),V (V),Jsc(mA/cm2),Isc (mA),V (V),Jsc(mA/cm2),Isc (mA)
-0.100000,-2.215891104779994,-140.000000000000000,-0.100000,-2.184235517568851,-138.000000000000000,-0.100000,-2.152579930357708,-136.000000000000000
0.000000,-2.215891104779994,-140.000000000000000,0.000000,-2.184235517568851,-138.000000000000000,0.000000,-2.152579930357708,-136.000000000000000
0.100000,-2.215891070156695,-139.999997812499998,0.100000,-2.184235471141077,-137.999997066693254,0.100000,-2.152579867069288,-135.999996001437609
0.200000,-2.215888888888889,-139.999859999999984,0.200000,-2.184232546191333,-137.999812268368402,0.200000,-2.152575879898805,-135.999744092006466
0.300000,-2.215865864395378,-139.998405312500012,0.300000,-2.184201671721808,-137.997861619383855,0.300000,-2.152533793099256,-135.997085048010973
0.400000,-2.215749287749288,-139.991039999999998,0.400000,-2.184045349407691,-137.987985175577876,0.400000,-2.152320700987857,-135.983621888412813
0.500000,-2.215350115740741,-139.965820312500000,0.500000,-2.183510083604462,-137.954167082129885,0.500000,-2.151591048789368,-135.937522462512305
0.600000,-2.214275720164609,-139.897940000000006,0.600000,-2.182069383358128,-137.863143640566534,0.600000,-2.149627145816751,-135.813443072702341
0.700000,-2.211817708333334,-139.742642812500009,0.700000,-2.178773336418359,-137.654899394911951,0.700000,-2.145134110989158,-135.529573132295013
0.800000,-2.206814814814815,-139.426559999999995,0.800000,-2.172064755254557,-137.231051236982893,0.800000,-2.135989250687255,-134.951800858420768
0.900000,-2.197490864395379,-138.837472812500010,0.900000,-2.159561895074837,-136.441120530828186,0.900000,-2.118945868945869,-133.875000000000000
1.000000,-2.181267806267806,-137.812500000000000,1.000000,-2.137807743847941,-135.066693256312931,1.000000,-2.089291509983971,-132.001437600787284
1.100000,-2.154553819444445,-136.124710312500014,1.100000,-2.101985884328062,-132.803468171846959,1.100000,-2.040460633071990,-128.916302797488328
1.200000,-2.112506489395378,-133.468159999999983,1.200000,-2.045602928082594,-129.241192996258292,1.200000,-1.963601719736455,-124.060356652949238
1.300000,-2.048771055911681,-129.441355312500008,1.300000,-1.960137521522800,-123.841488609810497,1.300000,-1.847098813301971,-116.699703024418525
1.400000,-1.955193732193732,-123.529139999999998,1.400000,-1.834655923937407,-115.913561274365350,1.400000,-1.676047490770522,-105.892680466881586
1.500000,-1.821510095164609,-115.083007812500000,1.500000,-1.655394157529112,-104.587802872689309,1.500000,-1.431685267038110,-90.453875171467786
1.600000,-1.635008547008547,-103.299839999999975,1.600000,-1.405306729454023,-88.787279166905151,1.600000,-1.090776431448720,-68.915254938930161
1.700000,-1.380168847934473,-87.199067812500004,1.700000,-1.063581925864003,-67.197106076087721,1.700000,-0.624951316685625,-39.484424188197771
1.800000,-1.038275720164609,-65.598259999999996,1.800000,-0.605123677951952,-38.231713973004325,1.800000,0.000000000000000,0.000000000000000
1.900000,-0.587007523148149,-37.087135312500031,1.900000,0.000000000000000,0.000000000000000,1.900000,0.358763321726284,22.666666666666636
2.000000,0.000000000000000,0.000000000000000,2.000000,0.364039252928142,23.000000000000021,2.000000,0.717526643452569,45.333333333333329
2.100000,0.369315184129999,23.333333333333353,2.100000,0.728078505856284,46.000000000000043,2.100000,1.076289965178854,68.000000000000014
2.200000,0.738630368259999,46.666666666666707,2.200000,1.092117758784426,69.000000000000057,2.200000,1.435053286905139,90.666666666666700
,Name,Jsc (mA/cm^2),Isc (mA),Voc (V),Eff (%),Pmax (mW),FF (%),Vmax(V),Imax(mA),Rs (ohm),Rsh (ohm),Area (cm^2),Date,Note
,A1-Rev,2.2160000000,140.0000000000,2.0000000000,19.9000000000,1257.0000000000,77.0000000000,1.7000000000,130.0000000000,5.5000000000,900.0000000000,63.1800000000,10:10:53,0.0000000000
,A1-Rev,2.1840000000,138.0000000000,1.9000000000,18.8000000000,1188.0000000000,74.0000000000,1.6000000000,126.0000000000,5.8000000000,675.0000000000,63.1800000000,10:05:53,0.0000000000
,A1-For,2.1520000000,136.0000000000,1.8000000000,17.5000000000,1105.0000000000,72.0000000000,1.5000000000,122.0000000000,6.8000000000,382.0000000000,63.1800000000,10:04:01,0.0000000000
